20230402	16:04:34	b099a2f5-73d9-497c-9836-c959065af227	/new-page.html	GET
20230402	16:04:34	88fc244a-fc1a-4de6-8404-17dc19e3c1e6	/css/style.css	GET
20230402	16:04:34	d86330ae-161a-4a55-9521-7dd98b53abc4	/img/img1.jpg	GET
20230402	16:08:08	b92c00c7-3b41-4c3e-b0b6-49df9cee399f	/new-page.html	GET
20230409	09:41:06	079d48ed-4efc-4487-9446-67fc8db235e4	GET	$undefined	/index
20230409	09:41:06	d06d91e7-bec8-4a1d-a8d3-19445e1913dd	GET	$undefined	/css/style.css
20230409	14:01:32	588288ff-c7b7-4fc1-8a42-3d8ff4d1d8ac	GET	$undefined	/subdir/
20230409	14:04:58	cb115b10-6e2c-4d91-a97f-9a520a9f11f6	GET	$undefined	/subdir/test
20230409	14:05:06	66de29f1-1154-4900-a2ea-e6b4fcbd6085	GET	$undefined	/subdir/dave
20230409	14:05:57	c94fa8cc-7133-4997-bb84-aa0b178ea9c7	GET	$undefined	/subdir/dave
20230409	14:06:53	f7486b06-587b-43e8-b3e6-76b6a12fb367	GET	$undefined	/subdir/dave
20230409	14:07:25	ae3277e2-54a3-4203-b4dd-24d3e0b7723b	GET	$undefined	/subdir/dave
20230409	14:14:38	2a829de8-609d-4873-b961-49f9b10eae5f	GET	$undefined	/subdir/dave
20230409	14:15:22	c9a230a8-0267-4a47-9002-a9dc7805e9e9	GET	$undefined	/subdir/dave
20230409	14:15:46	44e55b23-3f88-411c-81af-971805f6727f	GET	$undefined	/subdir/dave
20230409	14:15:46	b8b2d098-eb82-496b-a6d3-a78a878e3960	GET	$undefined	/favicon.ico
20230409	14:16:54	ac6421d9-e6c4-4592-ba93-73e8e7a942c1	GET	$undefined	/subdir/dave
20230409	14:16:54	e8a4300c-48b0-4b98-a693-9a8ddaa3dada	GET	$undefined	/subdir/css/style.css
20230409	14:23:45	bccae433-5caf-4e25-8294-a7b55e53565a	GET	$undefined	/
20230409	14:23:45	51127ac5-9c2d-4e32-99b3-f7d159d8d026	GET	$undefined	/css/style.css
20230409	14:23:59	76e08cec-b2d4-4738-bdd8-2b16e3bc7217	GET	$undefined	/new-page.html
20230409	14:23:59	41a90d4d-3125-4132-bf24-d22c7a2bf5c9	GET	$undefined	/css/style.css
20230409	14:23:59	ba252f1d-25ed-49c0-92cd-51fe7f79a0d0	GET	$undefined	/img/img1.jpg
20230409	14:41:56	6268bda8-1321-4732-b64e-bcceb7055dd0	GET	$undefined	/employees
20230409	14:42:39	2e727abc-075c-4c4b-b9c1-83cc982daff7	GET	$undefined	/employees
20230409	14:43:46	d6710932-c620-416f-82e3-1de87bca43ff	GET	$undefined	/employees
20230409	14:44:45	f38b3734-ed14-4c15-9c36-18223757f64d	GET	$undefined	/employees
20230409	14:46:41	8ed94671-10c5-487d-af69-fea4ae29fd32	POST	$undefined	/employees
20230409	14:47:24	26ee84a1-b996-4b52-a7aa-729755142d27	POST	$undefined	/employees
20230409	14:47:39	dcccb9c5-86a0-434d-b49c-ca3f8e3dbdbc	POST	$undefined	/employees
20230409	14:48:29	e0651bb9-91da-47f4-8fb7-cce84b072bb0	POST	$undefined	/employees
20230409	14:50:05	a5b4c8a0-fd16-4edc-a8d3-4a8381de8d4e	POST	$undefined	/employees
20230409	14:51:11	267b5e83-3e83-483b-9b50-93aad577bfe4	PUT	$undefined	/employees
20230409	14:51:26	695a124d-0dcc-4f8a-8a32-3bb804708319	DELETE	$undefined	/employees
20230409	14:51:56	ff7515ac-5f0d-489d-bb77-29e1c7d79d1f	DELETE	$undefined	/employees?id=1
